,PassengerId,Sex
0,1,male
1,2,female
2,3,female
3,4,female
4,5,male
5,6,male
6,7,male
7,8,male
8,9,female
9,10,female
10,11,female
11,12,female
12,13,male
13,14,male
14,15,female
15,16,female
16,17,male
17,18,male
18,19,female
19,20,female
20,21,male
21,22,male
22,23,female
23,24,male
24,25,female
25,26,female
26,27,male
27,28,male
28,29,female
29,30,male
30,31,male
31,32,female
32,33,female
33,34,male
34,35,male
35,36,male
36,37,male
37,38,male
38,39,female
39,40,female
40,41,female
41,42,female
42,43,male
43,44,female
44,45,female
45,46,male
46,47,male
47,48,female
48,49,male
49,50,female
50,51,male
51,52,male
52,53,female
53,54,female
54,55,male
55,56,male
56,57,female
57,58,male
58,59,female
59,60,male
60,61,male
61,62,female
62,63,male
63,64,male
64,65,male
65,66,male
66,67,female
67,68,male
68,69,female
69,70,male
70,71,male
71,72,female
72,73,male
73,74,male
74,75,male
75,76,male
76,77,male
77,78,male
78,79,male
79,80,female
80,81,male
81,82,male
82,83,female
83,84,male
84,85,female
85,86,female
86,87,male
87,88,male
88,89,female
89,90,male
90,91,male
91,92,male
92,93,male
93,94,male
94,95,male
95,96,male
96,97,male
97,98,male
98,99,female
99,100,male
100,101,female
101,102,male
102,103,male
103,104,male
104,105,male
105,106,male
106,107,female
107,108,male
108,109,male
109,110,female
110,111,male
111,112,female
112,113,male
113,114,female
114,115,female
115,116,male
116,117,male
117,118,male
118,119,male
119,120,female
120,121,male
121,122,male
122,123,male
123,124,female
124,125,male
125,126,male
126,127,male
127,128,male
128,129,female
129,130,male
130,131,male
131,132,male
132,133,female
133,134,female
134,135,male
135,136,male
136,137,female
137,138,male
138,139,male
139,140,male
140,141,female
141,142,female
142,143,female
143,144,male
144,145,male
145,146,male
146,147,male
147,148,female
148,149,male
149,150,male
150,151,male
151,152,female
152,153,male
153,154,male
154,155,male
155,156,male
156,157,female
157,158,male
158,159,male
159,160,male
160,161,male
161,162,female
162,163,male
163,164,male
164,165,male
165,166,male
166,167,female
167,168,female
168,169,male
169,170,male
170,171,male
171,172,male
172,173,female
173,174,male
174,175,male
175,176,male
176,177,male
177,178,female
178,179,male
179,180,male
180,181,female
181,182,male
182,183,male
183,184,male
184,185,female
185,186,male
186,187,female
187,188,male
188,189,male
189,190,male
190,191,female
191,192,male
192,193,female
193,194,male
194,195,female
195,196,female
196,197,male
197,198,male
198,199,female
199,200,female
200,201,male
201,202,male
202,203,male
203,204,male
204,205,male
205,206,female
206,207,male
207,208,male
208,209,female
209,210,male
210,211,male
211,212,female
212,213,male
213,214,male
214,215,male
215,216,female
216,217,female
217,218,male
218,219,female
219,220,male
220,221,male
221,222,male
222,223,male
223,224,male
224,225,male
225,226,male
226,227,male
227,228,male
228,229,male
229,230,female
230,231,female
231,232,male
232,233,male
233,234,female
234,235,male
235,236,female
236,237,male
237,238,female
238,239,male
239,240,male
240,241,female
241,242,female
242,243,male
243,244,male
244,245,male
245,246,male
246,247,female
247,248,female
248,249,male
249,250,male
250,251,male
251,252,female
252,253,male
253,254,male
254,255,female
255,256,female
256,257,female
257,258,female
258,259,female
259,260,female
260,261,male
261,262,male
262,263,male
263,264,male
264,265,female
265,266,male
266,267,male
267,268,male
268,269,female
269,270,female
270,271,male
271,272,male
272,273,female
273,274,male
274,275,female
275,276,female
276,277,female
277,278,male
278,279,male
279,280,female
280,281,male
281,282,male
282,283,male
283,284,male
284,285,male
285,286,male
286,287,male
287,288,male
288,289,male
289,290,female
290,291,female
291,292,female
292,293,male
293,294,female
294,295,male
295,296,male
296,297,male
297,298,female
298,299,male
299,300,female
300,301,female
301,302,male
302,303,male
303,304,female
304,305,male
305,306,male
306,307,female
307,308,female
308,309,male
309,310,female
310,311,female
311,312,female
312,313,female
313,314,male
314,315,male
315,316,female
316,317,female
317,318,male
318,319,female
319,320,female
320,321,male
321,322,male
322,323,female
323,324,female
324,325,male
325,326,female
326,327,male
327,328,female
328,329,female
329,330,female
330,331,female
331,332,male
332,333,male
333,334,male
334,335,female
335,336,male
336,337,male
337,338,female
338,339,male
339,340,male
340,341,male
341,342,female
342,343,male
343,344,male
344,345,male
345,346,female
346,347,female
347,348,female
348,349,male
349,350,male
350,351,male
351,352,male
352,353,male
353,354,male
354,355,male
355,356,male
356,357,female
357,358,female
358,359,female
359,360,female
360,361,male
361,362,male
362,363,female
363,364,male
364,365,male
365,366,male
366,367,female
367,368,female
368,369,female
369,370,female
370,371,male
371,372,male
372,373,male
373,374,male
374,375,female
375,376,female
376,377,female
377,378,male
378,379,male
379,380,male
380,381,female
381,382,female
382,383,male
383,384,female
384,385,male
385,386,male
386,387,male
387,388,female
388,389,male
389,390,female
390,391,male
391,392,male
392,393,male
393,394,female
394,395,female
395,396,male
396,397,female
397,398,male
398,399,male
399,400,female
400,401,male
401,402,male
402,403,female
403,404,male
404,405,female
405,406,male
406,407,male
407,408,male
408,409,male
409,410,female
410,411,male
411,412,male
412,413,female
413,414,male
414,415,male
415,416,female
416,417,female
417,418,female
418,419,male
419,420,female
420,421,male
421,422,male
422,423,male
423,424,female
424,425,male
425,426,male
426,427,female
427,428,female
428,429,male
429,430,male
430,431,male
431,432,female
432,433,female
433,434,male
434,435,male
435,436,female
436,437,female
437,438,female
438,439,male
439,440,male
440,441,female
441,442,male
442,443,male
443,444,female
444,445,male
445,446,male
446,447,female
447,448,male
448,449,female
449,450,male
450,451,male
451,452,male
452,453,male
453,454,male
454,455,male
455,456,male
456,457,male
457,458,female
458,459,female
459,460,male
460,461,male
461,462,male
462,463,male
463,464,male
464,465,male
465,466,male
466,467,male
467,468,male
468,469,male
469,470,female
470,471,male
471,472,male
472,473,female
473,474,female
474,475,female
475,476,male
476,477,male
477,478,male
478,479,male
479,480,female
480,481,male
481,482,male
482,483,male
483,484,female
484,485,male
485,486,female
486,487,female
487,488,male
488,489,male
489,490,male
490,491,male
491,492,male
492,493,male
493,494,male
494,495,male
495,496,male
496,497,female
497,498,male
498,499,female
499,500,male
500,501,male
501,502,female
502,503,female
503,504,female
504,505,female
505,506,male
506,507,female
507,508,male
508,509,male
509,510,male
510,511,male
511,512,male
512,513,male
513,514,female
514,515,male
515,516,male
516,517,female
517,518,male
518,519,female
519,520,male
520,521,female
521,522,male
522,523,male
523,524,female
524,525,male
525,526,male
526,527,female
527,528,male
528,529,male
529,530,male
530,531,female
531,532,male
532,533,male
533,534,female
534,535,female
535,536,female
536,537,male
537,538,female
538,539,male
539,540,female
540,541,female
541,542,female
542,543,female
543,544,male
544,545,male
545,546,male
546,547,female
547,548,male
548,549,male
549,550,male
550,551,male
551,552,male
552,553,male
553,554,male
554,555,female
555,556,male
556,557,female
557,558,male
558,559,female
559,560,female
560,561,male
561,562,male
562,563,male
563,564,male
564,565,female
565,566,male
566,567,male
567,568,female
568,569,male
569,570,male
570,571,male
571,572,female
572,573,male
573,574,female
574,575,male
575,576,male
576,577,female
577,578,female
578,579,female
579,580,male
580,581,female
581,582,female
582,583,male
583,584,male
584,585,male
585,586,female
586,587,male
587,588,male
588,589,male
589,590,male
590,591,male
591,592,female
592,593,male
593,594,female
594,595,male
595,596,male
596,597,female
597,598,male
598,599,male
599,600,male
600,601,female
601,602,male
602,603,male
603,604,male
604,605,male
605,606,male
606,607,male
607,608,male
608,609,female
609,610,female
610,611,female
611,612,male
612,613,female
613,614,male
614,615,male
615,616,female
616,617,male
617,618,female
618,619,female
619,620,male
620,621,male
621,622,male
622,623,male
623,624,male
624,625,male
625,626,male
626,627,male
627,628,female
628,629,male
629,630,male
630,631,male
631,632,male
632,633,male
633,634,male
634,635,female
635,636,female
636,637,male
637,638,male
638,639,female
639,640,male
640,641,male
641,642,female
642,643,female
643,644,male
644,645,female
645,646,male
646,647,male
647,648,male
648,649,male
649,650,female
650,651,male
651,652,female
652,653,male
653,654,female
654,655,female
655,656,male
656,657,male
657,658,female
658,659,male
659,660,male
660,661,male
661,662,male
662,663,male
663,664,male
664,665,male
665,666,male
666,667,male
667,668,male
668,669,male
669,670,female
670,671,female
671,672,male
672,673,male
673,674,male
674,675,male
675,676,male
676,677,male
677,678,female
678,679,female
679,680,male
680,681,female
681,682,male
682,683,male
683,684,male
684,685,male
685,686,male
686,687,male
687,688,male
688,689,male
689,690,female
690,691,male
691,692,female
692,693,male
693,694,male
694,695,male
695,696,male
696,697,male
697,698,female
698,699,male
699,700,male
700,701,female
701,702,male
702,703,female
703,704,male
704,705,male
705,706,male
706,707,female
707,708,male
708,709,female
709,710,male
710,711,female
711,712,male
712,713,male
713,714,male
714,715,male
715,716,male
716,717,female
717,718,female
718,719,male
719,720,male
720,721,female
721,722,male
722,723,male
723,724,male
724,725,male
725,726,male
726,727,female
727,728,female
728,729,male
729,730,female
730,731,female
731,732,male
732,733,male
733,734,male
734,735,male
735,736,male
736,737,female
737,738,male
738,739,male
739,740,male
740,741,male
741,742,male
742,743,female
743,744,male
744,745,male
745,746,male
746,747,male
747,748,female
748,749,male
749,750,male
750,751,female
751,752,male
752,753,male
753,754,male
754,755,female
755,756,male
756,757,male
757,758,male
758,759,male
759,760,female
760,761,male
761,762,male
762,763,male
763,764,female
764,765,male
765,766,female
766,767,male
767,768,female
768,769,male
769,770,male
770,771,male
771,772,male
772,773,female
773,774,male
774,775,female
775,776,male
776,777,male
777,778,female
778,779,male
779,780,female
780,781,female
781,782,female
782,783,male
783,784,male
784,785,male
785,786,male
786,787,female
787,788,male
788,789,male
789,790,male
790,791,male
791,792,male
792,793,female
793,794,male
794,795,male
795,796,male
796,797,female
797,798,female
798,799,male
799,800,female
800,801,male
801,802,female
802,803,male
803,804,male
804,805,male
805,806,male
806,807,male
807,808,female
808,809,male
809,810,female
810,811,male
811,812,male
812,813,male
813,814,female
814,815,male
815,816,male
816,817,female
817,818,male
818,819,male
819,820,male
820,821,female
821,822,male
822,823,male
823,824,female
824,825,male
825,826,male
826,827,male
827,828,male
828,829,male
829,830,female
830,831,female
831,832,male
832,833,male
833,834,male
834,835,male
835,836,female
836,837,male
837,838,male
838,839,male
839,840,male
840,841,male
841,842,male
842,843,female
843,844,male
844,845,male
845,846,male
846,847,male
847,848,male
848,849,male
849,850,female
850,851,male
851,852,male
852,853,female
853,854,female
854,855,female
855,856,female
856,857,female
857,858,male
858,859,female
859,860,male
860,861,male
861,862,male
862,863,female
863,864,female
864,865,male
865,866,female
866,867,female
867,868,male
868,869,male
869,870,male
870,871,male
871,872,female
872,873,male
873,874,male
874,875,female
875,876,female
876,877,male
877,878,male
878,879,male
879,880,female
880,881,female
881,882,male
882,883,female
883,884,male
884,885,male
885,886,female
886,887,male
887,888,female
888,889,female
889,890,male
890,891,male
